Thread-Name,x,y,time,IsPotential
Thread-28,54,204,12,false
Thread-30,143,48,12,false
Thread-31,16,219,12,false
Thread-0,261,16,13,false
Thread-1,217,214,13,false
Thread-2,159,0,13,false
Thread-3,290,105,13,false
Thread-4,5,244,13,false
Thread-5,176,99,13,false
Thread-6,109,275,13,false
Thread-7,158,241,13,false
Thread-8,103,233,13,false
Thread-9,231,149,13,false
Thread-10,16,54,13,false
Thread-11,262,134,13,false
Thread-12,125,57,13,false
Thread-13,134,4,13,true
Thread-15,176,203,13,false
Thread-16,17,104,13,false
Thread-17,207,91,13,false
Thread-18,211,157,13,false
Thread-19,109,187,13,false
Thread-20,49,194,13,false
Thread-21,156,154,13,false
Thread-22,110,270,13,false
Thread-23,205,52,13,false
Thread-24,265,256,13,false
Thread-25,72,95,13,false
Thread-26,208,88,13,false
Thread-27,59,107,13,false
Thread-28,44,214,13,false
Thread-30,153,38,13,false
Thread-31,6,229,13,false
Thread-0,251,26,14,false
Thread-1,207,224,14,false
Thread-2,159,10,14,false
Thread-3,290,105,14,false
Thread-4,5,264,14,false
Thread-5,186,109,14,false
Thread-6,99,275,14,false
Thread-7,158,231,14,false
Thread-8,93,223,14,false
Thread-9,211,169,14,false
Thread-10,36,54,14,false
Thread-11,272,124,14,false
Thread-12,115,47,14,false
Thread-13,134,4,14,true
Thread-15,186,213,14,false
Thread-16,27,114,14,false
Thread-17,207,81,14,false
Thread-18,201,157,14,false
Thread-19,99,197,14,false
Thread-20,49,204,14,false
Thread-21,146,164,14,false
Thread-22,120,270,14,false
Thread-23,205,62,14,false
Thread-24,255,256,14,false
Thread-25,72,85,14,false
Thread-26,208,88,14,false
Thread-27,59,107,14,false
Thread-28,34,214,14,false
Thread-30,143,38,14,false
Thread-31,26,249,14,false
